ID,Year_Birth,Education,Marital_Status, Income ,Kidhome,Teenhome,Dt_Customer,Recency,MntBeers,MntVegetables,MntMeatProducts,MntSeafoodProducts,MntSweetProducts,MntJewelryProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country
13496,1970,Bachelor,Divorced,"$57,184.00 ",0,0,6/16/2014,89,15,56,512,111,189,218,1,4,4,6,1,1,1,0,0,1,0,0,SP
34551,1961,Bachelor,Single,"$74,495.00 ",0,0,6/15/2014,31,464,93,1452,7,0,37,1,7,3,7,5,1,0,0,1,0,0,1,CA
24171,1958,Bachelor,Married,"$71,359.00 ",0,1,5/13/2014,51,134,89,922,15,2,30,1,3,2,5,2,0,0,0,0,0,0,1,US
11371,1967,Bachelor,Together,"$108,867.00 ",1,1,5/11/2014,47,10,187,76,0,0,0,1,1,0,2,7,0,1,1,0,0,1,1,AUS
26254,1989,Bachelor,Single,"$96,120.00 ",1,0,4/8/2014,33,6,39,1707,11,0,34,2,3,1,2,7,0,1,1,0,0,1,1,SP
24269,1958,PhD,Single,"$72,679.00 ",0,0,3/17/2014,55,336,168,852,240,32,43,1,4,7,5,2,1,1,1,1,0,0,1,SP
6488,1954,Associate,Married,"$142,700.00 ",0,0,1/29/2014,96,769,144,494,15,34,65,1,10,10,7,6,0,0,0,0,1,0,0,GER
14766,1967,Bachelor,Together,"$36,532.00 ",0,1,1/18/2014,16,78,93,1076,0,0,7,1,2,1,3,5,0,0,0,1,0,0,1,SP
17085,1954,PhD,Married,"$124,040.00 ",0,1,1/11/2014,56,384,199,1535,21,32,5,3,6,2,9,4,0,1,0,0,0,0,1,US
25351,1954,PhD,Married,"$115,510.00 ",0,1,1/11/2014,9,384,127,896,21,32,5,3,6,2,9,4,0,0,1,0,0,1,1,IND
23839,1947,Associate,Married,"$149,584.00 ",0,0,12/27/2013,31,450,84,1130,73,98,26,1,5,6,10,1,1,0,1,0,0,0,0,US
7879,1979,Master,Together,"$37,833.00 ",1,0,12/9/2013,71,140,38,1278,0,13,4,2,3,1,6,4,1,0,1,1,1,0,1,SP
12545,1959,PhD,Widow,"$128,702.00 ",0,0,12/7/2013,31,431,57,805,80,20,102,1,3,6,6,1,1,1,1,1,1,0,0,IND
1276,1981,Bachelor,Married,"$103,934.00 ",0,0,10/16/2013,61,3,72,225,3,16,32,1,1,1,2,6,0,0,1,0,1,1,0,CA
18610,1969,Bachelor,Married,"$162,254.00 ",0,1,10/5/2013,42,16,186,371,2,4,321,0,25,0,0,1,0,0,1,0,1,1,1,SP
26861,1977,Bachelor,Married,"$146,871.00 ",1,1,9/11/2013,5,63,55,1496,13,13,22,4,2,1,5,4,0,1,0,0,0,1,0,SP
